,player_name,player_id,season,season_type,team,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,lg,salary,normalized salary
0,Alaa Abdelnaby,abdelal01,1991,PO,POR,26,13,-6.565556058,-1.999625336,-8.565181395,-0.03902819,0.0,-0.03902819,-6.966436741,-4.170021165,-11.13645791,-1.78524722,NBA,395000.0,0.03327436610226603
1,Alaa Abdelnaby,abdelal01,1991,RS,POR,614,290,-3.827204016,-0.447001044,-4.27420506,-0.226162818,-0.226162818,0.0,-3.776125431,-1.592066651,-5.368192082,0.283274316,NBA,395000.0,0.03327436610226603
2,Alaa Abdelnaby,abdelal01,1992,PO,POR,50,25,-5.430838413,-3.112861867,-8.54370028,-0.077214596,0.0,-0.077214596,-5.722269438,-4.144577382,-9.86684682,1.216643064,NBA,494000.0,0.03952
3,Alaa Abdelnaby,abdelal01,1992,RS,POR,1948,934,-2.480004574,-0.123124784,-2.603129358,0.070321631,0.070321631,0.0,-2.416857942,-0.634024652,-3.050882594,0.466668067,NBA,494000.0,0.03952
4,Alaa Abdelnaby,abdelal01,1993,PO,BOS,128,68,-9.774332869,-3.59649861,-13.37083148,-0.381917602,0.0,-0.381917602,-9.480058987,-4.481334106,-13.96139309,0.456135059,NBA,500000.0,0.03571428571428571
5,Alaa Abdelnaby,abdelal01,1993,RS,BOS,2304,1152,-1.845659432,-2.038480429,-3.884139861,-0.66961908,-0.66961908,0.0,-1.804417225,-1.907295355,-3.711712581,0.444865173,NBA,500000.0,0.03571428571428571
8,Alaa Abdelnaby,abdelal01,1995,RS,SAC,926,476,-2.870679643,-0.987076095,-3.857755738,-0.273787242,-0.273787242,0.0,-2.839131679,-0.608234313,-3.447365991,1.665034371,NBA,650000.0,0.04071661237785016
9,Kareem Abdul-Jabbar,abdulka01,1985,PO,LAL,1388,610,2.770237606,2.643967513,5.41420512,2.612299812,0.0,2.612299812,3.523669958,2.228461898,5.752131856,-0.330493745,NBA,1530000.0,0.425
10,Kareem Abdul-Jabbar,abdulka01,1985,RS,LAL,5719,2630,2.454327773,1.652245021,4.106572794,9.165312465,9.165312465,0.0,2.88186206,1.384435629,4.266297688,-0.393306974,NBA,1530000.0,0.425
11,Kareem Abdul-Jabbar,abdulka01,1986,PO,LAL,1029,489,0.942025887,2.356984776,3.299010663,1.556522231,0.0,1.556522231,1.586399953,1.951166568,3.537566521,0.002601893,NBA,2030000.0,0.4795653201039452
12,Kareem Abdul-Jabbar,abdulka01,1986,RS,LAL,5690,2629,2.410467088,1.386890171,3.797357259,8.755724126,8.755724126,0.0,2.924874589,1.144889804,4.069764393,-0.310083387,NBA,2030000.0,0.4795653201039452
15,Kareem Abdul-Jabbar,abdulka01,1988,PO,LAL,1400,718,-2.379287278,0.16945952,-2.209827758,0.204094933,0.0,0.204094933,-1.684787494,0.064699887,-1.620087608,0.005407902,NBA,2000000.0,0.3244646333549643
16,Kareem Abdul-Jabbar,abdulka01,1988,RS,LAL,4820,2308,-1.734285116,0.476990009,-1.257295106,1.754247899,1.754247899,0.0,-1.300830737,0.105883816,-1.194946921,-0.199223364,NBA,2000000.0,0.3244646333549643
17,Kareem Abdul-Jabbar,abdulka01,1989,PO,LAL,706,351,-3.770106318,-0.296898459,-4.067004777,-0.243718664,0.0,-0.243718664,-3.275919317,-0.51638639,-3.792305707,0.18630505,NBA,3000000.0,0.41482300884955753
18,Kareem Abdul-Jabbar,abdulka01,1989,RS,LAL,3575,1695,-3.388629736,0.638709215,-2.74992052,6.87e-05,6.87e-05,0.0,-2.827709019,0.321547568,-2.506161451,-0.023807936,NBA,3000000.0,0.41482300884955753
19,Mahmoud Abdul-Rauf,abdulma02,1991,RS,DEN,3606,1505,-2.922757854,-3.04218353,-5.964941384,-2.473735228,-2.473735228,0.0,-2.808590233,-2.762224061,-5.570814295,0.206360699,NBA,1660000.0,0.13983657653104203
20,Mahmoud Abdul-Rauf,abdulma02,1992,RS,DEN,3196,1538,-2.534362787,-2.523590982,-5.057953769,-1.814584645,-1.814584645,0.0,-2.699999221,-2.64311431,-5.343113531,0.192425414,NBA,2008000.0,0.16064
21,Mahmoud Abdul-Rauf,abdulma02,1993,RS,DEN,5699,2710,0.289814898,-1.088421073,-0.798606175,2.692147156,2.692147156,0.0,0.340752779,-0.72314419,-0.382391412,-0.215319094,NBA,2358000.0,0.16842857142857143
22,Mahmoud Abdul-Rauf,abdulma02,1994,PO,DEN,625,339,-0.380055262,-1.287208378,-1.667263641,0.193327972,0.0,0.193327972,-0.33375513,-1.084087759,-1.41784289,0.087096323,NBA,1825000.0,0.12026359143327842
23,Mahmoud Abdul-Rauf,abdulma02,1994,RS,DEN,5300,2617,1.202094012,-0.841220626,0.360873386,4.136852025,4.136852025,0.0,1.023154927,-0.581054117,0.44210081,-0.388458109,NBA,1825000.0,0.12026359143327842
24,Mahmoud Abdul-Rauf,abdulma02,1995,PO,DEN,145,76,-1.084870513,-3.230338587,-4.3152091,-0.063351893,0.0,-0.063351893,-0.782468988,-3.148197534,-3.930666523,1.089961389,NBA,2200000.0,0.13781007266349285
25,Mahmoud Abdul-Rauf,abdulma02,1995,RS,DEN,4014,2082,1.890768321,-0.924171335,0.966596985,3.935211566,3.935211566,0.0,1.961197342,-0.783304762,1.17789258,-0.302365912,NBA,2200000.0,0.13781007266349285
26,Mahmoud Abdul-Rauf,abdulma02,1996,RS,DEN,3942,2029,3.502525763,-0.987506208,2.515019555,5.422872544,5.422872544,0.0,3.555539603,-0.513614179,3.041925423,-0.468129802,NBA,2600000.0,0.11304347826086956
27,Mahmoud Abdul-Rauf,abdulma02,1997,RS,SAC,4086,2131,-0.389777871,-1.726187046,-2.115964917,0.689871014,0.689871014,0.0,-0.296631357,-1.370142593,-1.66677395,0.069513836,NBA,3100000.0,0.12724212945860527
28,Mahmoud Abdul-Rauf,abdulma02,1998,RS,SAC,1029,530,-3.30521956,-1.477924683,-4.783144242,-0.548181158,-0.548181158,0.0,-3.2187273,-1.75299735,-4.971724649,-0.264747194,NBA,3300000.0,0.12267657992565056
29,Mahmoud Abdul-Rauf,abdulma02,2001,RS,MEM,939,486,0.678520867,-2.640497903,-1.961977035,0.195461434,0.195461434,0.0,-0.031734291,-3.090443565,-3.122177856,0.030938043,NBA,798500.0,0.022492957746478873
30,Tariq Abdul-Wahad,abdulta01,1998,RS,SAC,1861,959,-3.704132947,-1.187281304,-4.891414251,-1.048298791,-1.048298791,0.0,-3.771389422,-1.663344623,-5.434734046,0.047412282,NBA,1226880.0,0.0456089219330855
31,Tariq Abdul-Wahad,abdulta01,1999,PO,SAC,185,99,2.149986727,1.521823228,3.671809954,0.331963715,0.0,0.331963715,1.063703821,1.051552048,2.115255869,-0.666990061,NBA,1411000.0,0.04703333333333334
32,Tariq Abdul-Wahad,abdulta01,1999,RS,SAC,2438,1205,-2.025323691,-0.392221804,-2.417545495,0.20445891,0.20445891,0.0,-2.285352827,-0.149491741,-2.434844568,0.030325998,NBA,1411000.0,0.04703333333333334
35,Tariq Abdul-Wahad,abdulta01,2001,RS,DEN,820,420,-5.303661332,-0.963653309,-6.267314641,-0.758929606,-0.758929606,0.0,-5.359759732,-1.405260424,-6.765020156,0.640189941,NBA,4500000.0,0.1267605633802817
37,Tariq Abdul-Wahad,abdulta01,2002,RS,DEN,794,417,-2.142347088,-0.576434326,-2.718781414,0.006664197,0.006664197,0.0,-2.355426819,-0.22101696,-2.576443779,0.308668146,NBA,5062500.0,0.11911764705882352
38,Shareef Abdur-Rahim,abdursh01,1997,RS,MEM,5220,2802,-2.332535189,-1.382817187,-3.715352376,-1.372235,-1.372235,0.0,-2.192803199,-1.333474657,-3.526277856,-0.516677603,NBA,2186000.0,0.08972622419242293
39,Shareef Abdur-Rahim,abdursh01,1998,RS,MEM,5725,2950,1.541272935,-1.15126518,0.390007756,4.695972401,4.695972401,0.0,1.451550502,-1.085284737,0.366265765,-0.580334182,NBA,2513760.0,0.09344832713754647
40,Shareef Abdur-Rahim,abdursh01,1999,RS,MEM,3790,2021,0.511295785,-0.700346394,-0.189050608,2.626029059,2.626029059,0.0,0.414624058,-0.573608592,-0.158984534,-0.497668351,NBA,2842000.0,0.09473333333333334
42,Shareef Abdur-Rahim,abdursh01,2001,RS,MEM,6263,3241,0.528007645,-0.524749064,0.003258581,4.533112155,4.533112155,0.0,0.317933607,-0.185122874,0.132810733,-0.396754491,NBA,10130000.0,0.2853521126760563
43,Shareef Abdur-Rahim,abdursh01,2002,RS,ATL,5771,2980,-0.477622095,0.49452853,0.016906435,4.190998515,4.190998515,0.0,-0.160723943,0.568160314,0.407436372,-0.344606949,NBA,11250000.0,0.2647058823529412
